county,borough,language,speaker_num,lang_family
5,Bronx,Spanish,603543.0,Indo-European
47,Brooklyn,Spanish,401318.0,Indo-European
61,Manhattan,Spanish,342634.0,Indo-European
81,Queens,Spanish,510372.0,Indo-European
85,Staten Island,Spanish,,Indo-European
5,Bronx,French,11528.0,Indo-European
47,Brooklyn,French,19159.0,Indo-European
61,Manhattan,French,32815.0,Indo-European
81,Queens,French,13124.0,Indo-European
85,Staten Island,French,,Indo-European
5,Bronx,French Creole,7564.0,Indo-European
47,Brooklyn,French Creole,67167.0,Indo-European
61,Manhattan,French Creole,3893.0,Indo-European
81,Queens,French Creole,34080.0,Indo-European
85,Staten Island,French Creole,,Indo-European
5,Bronx,Italian,11393.0,Indo-European
47,Brooklyn,Italian,26724.0,Indo-European
61,Manhattan,Italian,9895.0,Indo-European
81,Queens,Italian,31038.0,Indo-European
85,Staten Island,Italian,,Indo-European
5,Bronx,Portuguese,513.0,Indo-European
47,Brooklyn,Portuguese,1788.0,Indo-European
61,Manhattan,Portuguese,6736.0,Indo-European
81,Queens,Portuguese,7750.0,Indo-European
85,Staten Island,Portuguese,,Indo-European
5,Bronx,German,841.0,Indo-European
47,Brooklyn,German,2792.0,Indo-European
61,Manhattan,German,11497.0,Indo-European
81,Queens,German,6936.0,Indo-European
85,Staten Island,German,,Indo-European
5,Bronx,Yiddish,439.0,Indo-European
47,Brooklyn,Yiddish,81790.0,Indo-European
61,Manhattan,Yiddish,1954.0,Indo-European
81,Queens,Yiddish,1998.0,Indo-European
85,Staten Island,Yiddish,,Indo-European
5,Bronx,Other Germanic,729.0,Indo-European
47,Brooklyn,Other Germanic,1230.0,Indo-European
61,Manhattan,Other Germanic,2356.0,Indo-European
81,Queens,Other Germanic,417.0,Indo-European
85,Staten Island,Other Germanic,,Indo-European
5,Bronx,Other Scandinavian,0.0,Indo-European
47,Brooklyn,Other Scandinavian,1163.0,Indo-European
61,Manhattan,Other Scandinavian,3138.0,Indo-European
81,Queens,Other Scandinavian,257.0,Indo-European
85,Staten Island,Other Scandinavian,,Indo-European
5,Bronx,Greek,2230.0,Indo-European
47,Brooklyn,Greek,8456.0,Indo-European
61,Manhattan,Greek,5458.0,Indo-European
81,Queens,Greek,30302.0,Indo-European
85,Staten Island,Greek,,Indo-European
5,Bronx,Russian,3182.0,Indo-European
47,Brooklyn,Russian,128288.0,Indo-European
61,Manhattan,Russian,11343.0,Indo-European
81,Queens,Russian,32770.0,Indo-European
85,Staten Island,Russian,,Indo-European
5,Bronx,Polish,508.0,Indo-European
47,Brooklyn,Polish,25269.0,Indo-European
61,Manhattan,Polish,4502.0,Indo-European
81,Queens,Polish,24441.0,Indo-European
85,Staten Island,Polish,,Indo-European
5,Bronx,Serbo-Croatian,2429.0,Indo-European
47,Brooklyn,Serbo-Croatian,2276.0,Indo-European
61,Manhattan,Serbo-Croatian,6112.0,Indo-European
81,Queens,Serbo-Croatian,9843.0,Indo-European
85,Staten Island,Serbo-Croatian,,Indo-European
5,Bronx,Other Slavic,884.0,Indo-European
47,Brooklyn,Other Slavic,5291.0,Indo-European
61,Manhattan,Other Slavic,5422.0,Indo-European
81,Queens,Other Slavic,4111.0,Indo-European
85,Staten Island,Other Slavic,,Indo-European
5,Bronx,Armenian,0.0,Indo-European
47,Brooklyn,Armenian,55.0,Indo-European
61,Manhattan,Armenian,420.0,Indo-European
81,Queens,Armenian,1287.0,Indo-European
85,Staten Island,Armenian,,Indo-European
5,Bronx,Persian,398.0,Indo-European
47,Brooklyn,Persian,616.0,Indo-European
61,Manhattan,Persian,2311.0,Indo-European
81,Queens,Persian,4773.0,Indo-European
85,Staten Island,Persian,,Indo-European
5,Bronx,Gujarati,732.0,Indo-European
47,Brooklyn,Gujarati,1057.0,Indo-European
61,Manhattan,Gujarati,1036.0,Indo-European
81,Queens,Gujarati,5471.0,Indo-European
85,Staten Island,Gujarati,,Indo-European
5,Bronx,Hindi,667.0,Indo-European
47,Brooklyn,Hindi,2504.0,Indo-European
61,Manhattan,Hindi,6987.0,Indo-European
81,Queens,Hindi,21883.0,Indo-European
85,Staten Island,Hindi,,Indo-European
5,Bronx,Urdu,3877.0,Indo-European
47,Brooklyn,Urdu,13557.0,Indo-European
61,Manhattan,Urdu,1934.0,Indo-European
81,Queens,Urdu,23001.0,Indo-European
85,Staten Island,Urdu,,Indo-European
5,Bronx,Other Indic,9096.0,Indo-European
47,Brooklyn,Other Indic,19642.0,Indo-European
61,Manhattan,Other Indic,4310.0,Indo-European
81,Queens,Other Indic,69449.0,Indo-European
85,Staten Island,Other Indic,,Indo-European
5,Bronx,Other Indo-European,9811.0,Indo-European
47,Brooklyn,Other Indo-European,10065.0,Indo-European
61,Manhattan,Other Indo-European,5140.0,Indo-European
81,Queens,Other Indo-European,18040.0,Indo-European
85,Staten Island,Other Indo-European,,Indo-European
5,Bronx,Chinese,7359.0,Asian and Pacific Island
47,Brooklyn,Chinese,163961.0,Asian and Pacific Island
61,Manhattan,Chinese,77283.0,Asian and Pacific Island
81,Queens,Chinese,181821.0,Asian and Pacific Island
85,Staten Island,Chinese,,Asian and Pacific Island
5,Bronx,Japanese,390.0,Asian and Pacific Island
47,Brooklyn,Japanese,3549.0,Asian and Pacific Island
61,Manhattan,Japanese,10829.0,Asian and Pacific Island
81,Queens,Japanese,5590.0,Asian and Pacific Island
85,Staten Island,Japanese,,Asian and Pacific Island
5,Bronx,Korean,2669.0,Asian and Pacific Island
47,Brooklyn,Korean,4744.0,Asian and Pacific Island
61,Manhattan,Korean,10481.0,Asian and Pacific Island
81,Queens,Korean,58675.0,Asian and Pacific Island
85,Staten Island,Korean,,Asian and Pacific Island
5,Bronx,Cambodian,1943.0,Asian and Pacific Island
47,Brooklyn,Cambodian,719.0,Asian and Pacific Island
61,Manhattan,Cambodian,102.0,Asian and Pacific Island
81,Queens,Cambodian,0.0,Asian and Pacific Island
85,Staten Island,Cambodian,,Asian and Pacific Island
5,Bronx,Hmong,0.0,Asian and Pacific Island
47,Brooklyn,Hmong,0.0,Asian and Pacific Island
61,Manhattan,Hmong,0.0,Asian and Pacific Island
