language,year,borough,county,lang_family,speaker_num
Arabic,2005,Bronx,5,Other,4398.0
Arabic,2005,Brooklyn,47,Other,27351.0
Arabic,2005,Manhattan,61,Other,6327.0
Arabic,2005,Queens,81,Other,12865.0
Arabic,2005,Staten Island,85,Other,
Arabic,2010,Bronx,5,Other,3845.0
Arabic,2010,Brooklyn,47,Other,22154.0
Arabic,2010,Manhattan,61,Other,5618.0
Arabic,2010,Queens,81,Other,14986.0
Arabic,2010,Staten Island,85,Other,
Arabic,2015,Bronx,5,Other,8653.0
Arabic,2015,Brooklyn,47,Other,29893.0
Arabic,2015,Manhattan,61,Other,8809.0
Arabic,2015,Queens,81,Other,17905.0
Arabic,2015,Staten Island,85,Other,7406.0
Arabic,2019,Bronx,5,Other,8748.0
Arabic,2019,Brooklyn,47,Other,30680.0
Arabic,2019,Manhattan,61,Other,7912.0
Arabic,2019,Queens,81,Other,11544.0
Arabic,2019,Staten Island,85,Other,12313.0
Armenian,2005,Bronx,5,Indo-European,171.0
Armenian,2005,Brooklyn,47,Indo-European,777.0
Armenian,2005,Manhattan,61,Indo-European,402.0
Armenian,2005,Queens,81,Indo-European,2266.0
Armenian,2005,Staten Island,85,Indo-European,
Armenian,2010,Bronx,5,Indo-European,
Armenian,2010,Brooklyn,47,Indo-European,55.0
Armenian,2010,Manhattan,61,Indo-European,420.0
Armenian,2010,Queens,81,Indo-European,1287.0
Armenian,2010,Staten Island,85,Indo-European,
Armenian,2015,Bronx,5,Indo-European,121.0
Armenian,2015,Brooklyn,47,Indo-European,1091.0
Armenian,2015,Manhattan,61,Indo-European,18.0
Armenian,2015,Queens,81,Indo-European,1761.0
Armenian,2015,Staten Island,85,Indo-European,
Armenian,2019,Bronx,5,Indo-European,
Armenian,2019,Brooklyn,47,Indo-European,1124.0
Armenian,2019,Manhattan,61,Indo-European,678.0
Armenian,2019,Queens,81,Indo-European,1831.0
Armenian,2019,Staten Island,85,Indo-European,
Bengali,2019,Bronx,5,Indo-European,17485.0
Bengali,2019,Brooklyn,47,Indo-European,26524.0
Bengali,2019,Manhattan,61,Indo-European,2232.0
Bengali,2019,Queens,81,Indo-European,70699.0
Bengali,2019,Staten Island,85,Indo-European,488.0
Chinese,2005,Bronx,5,Asian and Pacific Island,7902.0
Chinese,2005,Brooklyn,47,Asian and Pacific Island,125123.0
Chinese,2005,Manhattan,61,Asian and Pacific Island,72931.0
Chinese,2005,Queens,81,Asian and Pacific Island,144632.0
Chinese,2005,Staten Island,85,Asian and Pacific Island,
Chinese,2010,Bronx,5,Asian and Pacific Island,7359.0
Chinese,2010,Brooklyn,47,Asian and Pacific Island,163961.0
Chinese,2010,Manhattan,61,Asian and Pacific Island,77283.0
Chinese,2010,Queens,81,Asian and Pacific Island,181821.0
Chinese,2010,Staten Island,85,Asian and Pacific Island,
