county,borough,lang_family,language,2005,2010,2015,2019,difference,percent_change
5,Bronx,Asian and Pacific Island,Chinese,7902.0,7359.0,7550.0,5420.0,-2482.0,-31.409769678562387
5,Bronx,Asian and Pacific Island,Hmong,,,,,,
5,Bronx,Asian and Pacific Island,Japanese,264.0,390.0,500.0,358.0,94.0,35.60606060606061
5,Bronx,Asian and Pacific Island,Khmer,,,,1292.0,,
5,Bronx,Asian and Pacific Island,Korean,4308.0,2669.0,2279.0,1455.0,-2853.0,-66.22562674094708
5,Bronx,Asian and Pacific Island,Laotian,,,,,,
5,Bronx,Asian and Pacific Island,Mon-Khmer,448.0,1943.0,841.0,,,
5,Bronx,Asian and Pacific Island,Other Asian,1940.0,2136.0,2370.0,307.0,-1633.0,-84.17525773195877
5,Bronx,Asian and Pacific Island,Other Austronesian,,,,334.0,,
5,Bronx,Asian and Pacific Island,Other Pacific Island,131.0,994.0,212.0,,,
5,Bronx,Asian and Pacific Island,Other Tai-Kadai,,,,66.0,,
5,Bronx,Asian and Pacific Island,Tagalog,4459.0,3824.0,4034.0,4129.0,-330.0,-7.400762502803319
5,Bronx,Asian and Pacific Island,Thai,643.0,45.0,263.0,,,
5,Bronx,Asian and Pacific Island,Vietnamese,2658.0,2409.0,2559.0,3369.0,711.0,26.749435665914223
5,Bronx,Indo-European,Armenian,171.0,,121.0,,,
5,Bronx,Indo-European,Bengali,,,,17485.0,,
5,Bronx,Indo-European,French,12145.0,11528.0,15385.0,14330.0,2185.0,17.99094277480445
5,Bronx,Indo-European,French Creole,4119.0,7564.0,5295.0,,,
5,Bronx,Indo-European,German,1938.0,841.0,950.0,304.0,-1634.0,-84.31372549019608
5,Bronx,Indo-European,Greek,2221.0,2230.0,2143.0,3353.0,1132.0,50.96803241782981
5,Bronx,Indo-European,Gujarati,51.0,732.0,264.0,,,
5,Bronx,Indo-European,Haitian and French Creole,,,,6371.0,,
5,Bronx,Indo-European,Hindi,1011.0,667.0,530.0,2071.0,1060.0,104.84668644906034
5,Bronx,Indo-European,Italian,13098.0,11393.0,8653.0,4581.0,-8517.0,-65.02519468621163
5,Bronx,Indo-European,Other Dravidian,,,,257.0,,
5,Bronx,Indo-European,Other Germanic,1033.0,1168.0,431.0,,,
5,Bronx,Indo-European,Other Indic,7643.0,9096.0,16441.0,1128.0,-6515.0,-85.24139735705874
5,Bronx,Indo-European,Other Indo-European,10544.0,9811.0,13199.0,9036.0,-1508.0,-14.301972685887709
5,Bronx,Indo-European,Other Scandinavian,67.0,,77.0,,,
5,Bronx,Indo-European,Other Slavic,2549.0,884.0,1357.0,622.0,-1927.0,-75.59827383287563
5,Bronx,Indo-European,Persian,261.0,398.0,579.0,369.0,108.0,41.37931034482759
5,Bronx,Indo-European,Polish,659.0,508.0,1638.0,324.0,-335.0,-50.834597875569045
5,Bronx,Indo-European,Portuguese,482.0,513.0,1686.0,866.0,384.0,79.66804979253112
5,Bronx,Indo-European,Punjabi,,,,950.0,,
5,Bronx,Indo-European,Russian,5774.0,3182.0,4429.0,3403.0,-2371.0,-41.063387599584345
5,Bronx,Indo-European,Serbo-Croatian,1302.0,2429.0,1840.0,1491.0,189.0,14.516129032258066
